<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.04.04	07:00:00	1978.17	1980.72	1977.90	1979.77	2193	0	0
2023.04.04	08:00:00	1979.76	1980.94	1978.19	1978.87	2506	0	0
2023.04.04	09:00:00	1979.02	1982.40	1977.02	1981.60	3760	0	0
2023.04.04	10:00:00	1981.58	1983.82	1978.77	1982.18	4098	0	0
2023.04.04	11:00:00	1982.20	1984.24	1980.30	1980.70	3678	0	0
2023.04.04	12:00:00	1980.67	1983.91	1980.22	1983.03	3029	0	0
2023.04.04	13:00:00	1983.02	1984.34	1981.38	1982.18	2690	0	0
2023.04.04	14:00:00	1982.18	1982.51	1978.52	1982.02	3307	0	0
2023.04.04	15:00:00	1982.02	1985.63	1981.53	1983.69	5482	0	0
2023.04.04	16:00:00	1983.70	1993.27	1983.46	1992.69	6722	0	0
